transact_id,transact_type,transact_sub_type,transact_date,money,note
143,Expense,Bills,2022-11-26,73,
144,Expense,Groceries,2022-11-26,78,
145,Expense,Groceries,2022-11-19,65,
146,Expense,Groceries,2022-11-12,71,
147,Expense,Groceries,2022-11-05,74,
148,Income,Freelancing,2022-10-31,67,python scripts
149,Income,Full-time Job,2022-10-26,750,
150,Expense,Bills,2022-10-26,73,
151,Expense,Groceries,2022-10-29,78,
152,Expense,Groceries,2022-10-22,71,
153,Expense,Groceries,2022-10-15,73,
154,Expense,Groceries,2022-10-08,72,
155,Expense,Groceries,2022-10-01,67,
156,Expense,Leisure,2022-10-02,26,foods and drinks
157,Income,Freelancing,2022-09-30,250,python web scraping and data cleaning
158,Income,Full-time Job,2022-09-26,750,
159,Expense,Bills,2022-09-26,61,
160,Expense,Groceries,2022-09-24,67,
161,Expense,Groceries,2022-09-17,64,
162,Expense,Groceries,2022-09-10,65,
163,Expense,Groceries,2022-09-03,63,
164,Expense,Leisure,2022-09-11,26,foods and drinks
165,Income,Freelancing,2022-08-31,310,python web scraping and data cleaning
166,Income,Full-time Job,2022-08-26,750,
167,Expense,Bills,2022-08-26,64,
168,Expense,Groceries,2022-08-27,61,
169,Expense,Groceries,2022-08-20,64,
170,Expense,Groceries,2022-08-13,61,
171,Expense,Groceries,2022-08-06,64,
172,Expense,Leisure,2022-08-14,24,foods and drinks
173,Income,Freelancing,2022-07-31,43,python scripts
174,Income,Full-time Job,2022-07-26,750,
175,Expense,Bills,2022-07-26,65,
176,Expense,Groceries,2022-07-30,68,
177,Expense,Groceries,2022-07-23,62,
178,Expense,Groceries,2022-07-16,59,
179,Expense,Groceries,2022-07-09,64,
180,Expense,Groceries,2022-07-02,65,
181,Expense,Leisure,2022-07-17,26,foods and drinks
182,Income,Freelancing,2022-06-30,95,python scripts
183,Income,Full-time Job,2022-06-26,750,
184,Expense,Bills,2022-06-26,66,
185,Expense,Groceries,2022-06-25,63,
186,Expense,Groceries,2022-06-18,67,
187,Expense,Groceries,2022-06-11,62,
188,Expense,Groceries,2022-06-04,66,
189,Expense,Leisure,2022-06-19,25,foods and drinks
190,Income,Freelancing,2022-05-31,300,python web scraping and data cleaning
191,Income,Full-time Job,2022-05-26,750,
192,Expense,Bills,2022-05-26,64,
193,Expense,Groceries,2022-05-28,61,
194,Expense,Groceries,2022-05-21,63,
195,Expense,Groceries,2022-05-14,180,bday - pampanga
196,Expense,Groceries,2022-05-07,61,
197,Expense,Leisure,2022-05-14,200,bday - pampanga
198,Income,Freelancing,2022-04-30,800,python gui tkinter
199,Income,Full-time Job,2022-04-26,750,
200,Expense,Bills,2022-04-26,59,
201,Expense,Groceries,2022-04-30,65,
202,Expense,Groceries,2022-04-23,62,
203,Expense,Groceries,2022-04-16,64,
204,Expense,Groceries,2022-04-09,63,
205,Expense,Groceries,2022-04-02,66,
206,Expense,Leisure,2022-04-03,25,foods and drinks
207,Income,Freelancing,2022-03-31,60,python scripts
208,Income,Full-time Job,2022-03-26,750,
209,Expense,Bills,2022-03-26,64,
210,Expense,Groceries,2022-03-26,69,
211,Expense,Groceries,2022-03-19,59,
212,Expense,Groceries,2022-03-12,61,
213,Expense,Groceries,2022-03-05,67,
214,Expense,Leisure,2022-03-20,35,foods and drinks
215,Income,Freelancing,2022-02-28,15,python scripts
216,Income,Full-time Job,2022-02-26,750,
217,Expense,Bills,2022-02-26,57,
218,Expense,Groceries,2022-02-26,59,
219,Expense,Groceries,2022-02-19,65,
220,Expense,Groceries,2022-02-12,54,
221,Expense,Groceries,2022-02-05,68,
222,Expense,Leisure,2022-02-27,26,foods and drinks
223,Income,Full-time Job,2022-01-26,750,
224,Expense,Bills,2022-01-26,54,
225,Expense,Groceries,2022-01-29,61,
